facility_id,stroke_measure_name,stroke_score,compared_to_national
041313,Death rate for stroke patients,Not Available,Number of Cases Too Small
041317,Death rate for stroke patients,Not Available,Number of Cases Too Small
041318,Death rate for stroke patients,Not Available,Number of Cases Too Small
041320,Death rate for stroke patients,Not Available,Not Available
041321,Death rate for stroke patients,Not Available,Number of Cases Too Small
041322,Death rate for stroke patients,Not Available,Number of Cases Too Small
041323,Death rate for stroke patients,Not Available,Number of Cases Too Small
041324,Death rate for stroke patients,Not Available,Number of Cases Too Small
041326,Death rate for stroke patients,Not Available,Number of Cases Too Small
041327,Death rate for stroke patients,Not Available,Number of Cases Too Small
041328,Death rate for stroke patients,Not Available,Number of Cases Too Small
041329,Death rate for stroke patients,Not Available,Number of Cases Too Small
041330,Death rate for stroke patients,Not Available,Number of Cases Too Small
041331,Death rate for stroke patients,Not Available,Number of Cases Too Small
041332,Death rate for stroke patients,Not Available,Number of Cases Too Small
041333,Death rate for stroke patients,Not Available,Not Available
043300,Death rate for stroke patients,Not Available,Not Available
043301,Death rate for stroke patients,Not Available,Not Available
050002,Death rate for stroke patients,13.1,No Different Than the National Rate
050006,Death rate for stroke patients,17,No Different Than the National Rate
050007,Death rate for stroke patients,11.4,No Different Than the National Rate
050008,Death rate for stroke patients,12,No Different Than the National Rate
050009,Death rate for stroke patients,13.9,No Different Than the National Rate
050013,Death rate for stroke patients,14.8,No Different Than the National Rate
050014,Death rate for stroke patients,14,No Different Than the National Rate
050017,Death rate for stroke patients,13.2,No Different Than the National Rate
050022,Death rate for stroke patients,12.1,No Different Than the National Rate
050024,Death rate for stroke patients,12.6,No Different Than the National Rate
050025,Death rate for stroke patients,10.7,Better Than the National Rate
050026,Death rate for stroke patients,12.2,No Different Than the National Rate
050028,Death rate for stroke patients,Not Available,Number of Cases Too Small
050030,Death rate for stroke patients,13.8,No Different Than the National Rate
050036,Death rate for stroke patients,15.2,No Different Than the National Rate
050038,Death rate for stroke patients,11.7,No Different Than the National Rate
050039,Death rate for stroke patients,14.2,No Different Than the National Rate
050040,Death rate for stroke patients,12.4,No Different Than the National Rate
050042,Death rate for stroke patients,12.8,No Different Than the National Rate
050043,Death rate for stroke patients,11.8,No Different Than the National Rate
050045,Death rate for stroke patients,12.6,No Different Than the National Rate
050047,Death rate for stroke patients,15.2,No Different Than the National Rate
050054,Death rate for stroke patients,Not Available,Number of Cases Too Small
050055,Death rate for stroke patients,Not Available,Number of Cases Too Small
050056,Death rate for stroke patients,11.7,No Different Than the National Rate
050057,Death rate for stroke patients,12.2,No Different Than the National Rate
050058,Death rate for stroke patients,12.5,No Different Than the National Rate
050060,Death rate for stroke patients,13.1,No Different Than the National Rate
050063,Death rate for stroke patients,12.7,No Different Than the National Rate
050067,Death rate for stroke patients,Not Available,Number of Cases Too Small
050069,Death rate for stroke patients,10.8,No Different Than the National Rate
050070,Death rate for stroke patients,Not Available,Number of Cases Too Small
050071,Death rate for stroke patients,11.5,No Different Than the National Rate
050072,Death rate for stroke patients,Not Available,Number of Cases Too Small
050073,Death rate for stroke patients,Not Available,Number of Cases Too Small
