county_fips,county_name,state,stroke_mortality_rate,uninsured_rate,burden_index,population,state_norm,county_norm,hospitals_reporting,mean_stroke_score,mean_performance_weight,burden_scaled,supply_score,care_gap_index_raw,care_gap_index,SCAI,data_status,national_rank,category
01019,Cherokee County,AL,87.6,2250.0,1971.0,25224.0,AL,CHEROKEE,0.0,,-1.0,7.586803535162581,0.0,7.586803535162581,0.5568890170606245,0.44311098293937545,VALID,1537.0,Moderate Access
01021,Chilton County,AL,117.8,4550.0,5359.9,45500.0,AL,CHILTON,0.0,,-1.0,8.586887150417228,0.0,8.586887150417228,0.6302974793855504,0.36970252061444964,VALID,2110.0,Low Access
01023,Choctaw County,AL,111.5,1013.0,1129.495,12525.0,AL,CHOCTAW,0.0,,-1.0,7.0304108688864835,0.0,7.0304108688864835,0.5160485018705082,0.4839514981294918,VALID,1097.0,Moderate Access
01025,Clarke County,AL,83.6,1836.0,1534.8959999999995,22802.0,AL,CLARKE,0.0,,-1.0,7.336869203081971,0.0,7.336869203081971,0.5385432560458585,0.4614567439541415,VALID,1322.0,Moderate Access
01027,Clay County,AL,97.7,1171.0,1144.067,14188.0,AL,CLAY,0.0,,-1.0,7.0432184295602305,0.0,7.0432184295602305,0.5169886065986049,0.4830113934013951,VALID,1107.0,Moderate Access
01029,Cleburne County,AL,91.1,1390.0,1266.29,15254.0,AL,CLEBURNE,0.0,,-1.0,7.144636041265439,0.0,7.144636041265439,0.5244328950704744,0.4755671049295256,VALID,1179.0,Moderate Access
01031,Coffee County,AL,94.3,5449.0,5138.407,54231.0,AL,COFFEE,1.0,16.1,1.0,8.544692982143815,0.6931471805599453,6.235590920501199,0.45770686988478254,0.5422931301152174,VALID,545.0,Good Access
01033,Colbert County,AL,83.8,4242.0,3554.796,57648.0,AL,COLBERT,1.0,13.3,0.0,8.176334227159177,0.0,8.176334227159177,0.6001619403769417,0.3998380596230583,VALID,1943.0,Low Access
01035,Conecuh County,AL,128.0,925.0,1184.0,11411.0,AL,CONECUH,0.0,,-1.0,7.077498053569231,0.0,7.077498053569231,0.5195048106931361,0.48049518930686386,VALID,1129.0,Moderate Access
01037,Coosa County,AL,86.7,734.0,636.378,10323.0,AL,COOSA,0.0,,-1.0,6.4573628861694985,0.0,6.4573628861694985,0.4739854477338365,0.5260145522661634,VALID,687.0,Good Access
01039,Covington County,AL,114.6,3845.0,4406.37,37647.0,AL,COVINGTON,1.0,12.5,0.0,8.391033418658361,0.0,8.391033418658361,0.6159213601594034,0.38407863984059665,VALID,2038.0,Low Access
